('经历', 20）
('非典', 40)
('目睹', 10)
('这次', 20)
('武汉', 200)
('新型', 160)
('冠状病毒', 160)
('肺炎', 150)
('民众', 20)
('本人', 10)
('真的', 30)
('感触良多', 10)
('17', 20)
('年前', 10)
('小学', 10)
('三年级', 10)
('学校', 10)
('安排', 10)
('测', 20)
('次', 20)
('体温', 30)
('班级', 10)
('女生', 10)
('38.5', 10)
('度', 10)
('偏高', 10)
('老师', 10)
('即刻', 10)
('叮嘱', 10)
('靠近', 10)
('讲话', 10)
('后期', 10)
('排除', 10)
('嫌疑', 10)
('班里', 10)
('依然', 30)
('很多', 70)
('同学', 10)
('选择', 80)
('孤立', 10)
('男生', 10)
('喊', 10)
('传染病', 100)
('一场', 10)
('保护', 40)
('冠名', 10)
('霸陵', 10)
('狂欢', 10)
('冷眼旁观', 10)
('清晰', 10)
('记得', 20)
('女厕', 10)
('哭', 10)
('教室', 10)
('辩解', 10)
('发出', 10)
('无可奈何', 10)
('歇斯底里', 10)
('吼叫', 10)
('高傲', 10)
('却', 20)
('讨好', 10)
('试图', 10)
('交谈', 10)
('明白', 10)
('流言', 10)
('一把', 20)
('疾病', 50)
('本身', 10)
('可怕', 10)
('杀人', 10)
('刀', 10)
('带来', 20)
('恐惧', 40)
('卷土重来', 10)
('回来', 30)
('年代', 10)
('熟悉', 10)
('钟南山', 40)
('老先生', 20)
('很长', 10)
('发生', 30)
('事情', 10)
('太多', 20)
('无知', 10)
('女孩', 10)
('平庸', 10)
('社会', 10)
('身边', 30)
('00', 10)
('小女孩', 10)
('听', 20)
('厉害', 30)
('感慨', 10)
('心安理得', 10)
('相安无事', 10)
('一种', 10)
('福气', 10)
('不顾', 10)
('劝阻', 10)
('堂而皇之', 10)
('地去', 10)
('病例', 90)
('城市', 10)
('旅行', 20)
('以发', 10)
('朋友圈', 30)
('打卡', 10)
('炫耀', 10)
('当地', 20)
('几个', 10)
('戴', 80)
('口罩', 270)
('为荣', 10)
('民智未开', 10)
('心底', 10)
('万分', 10)
('承认', 10)
('医闹', 10)
('事件', 40)
('频发', 10)
('无能为力', 10)
('平凡', 10)
('做些', 10)
('不外乎', 10)
('疫情', 120)
('四溢', 10)
('遵', 10)
('医嘱', 10)
('不去', 20)
('人流量', 10)
('地方', 10)
